iter	Logloss
0	0.5965302787
1	0.5449195537
2	0.4888463214
3	0.441142587
4	0.3967115684
5	0.3732807941
6	0.3448106138
7	0.32721071
8	0.3192024178
9	0.307259858
10	0.2972541937
11	0.2880840848
12	0.2832340934
13	0.2673699545
14	0.2639446813
15	0.2543704304
16	0.2489039073
17	0.2465904184
18	0.2433876202
19	0.2383784609
20	0.2326080734
21	0.2252038556
22	0.2238689119
23	0.2226247535
24	0.2214460434
25	0.220340435
26	0.2195214417
27	0.2160807302
28	0.2133685606
29	0.2126625961
30	0.2113929626
31	0.2107191776
32	0.2101601137
33	0.2093815187
34	0.2073859619
35	0.2068821939
36	0.206446468
37	0.2045202348
38	0.2030130944
39	0.2026078134
40	0.2021133202
41	0.1995290916
42	0.1958835047
43	0.1929414149
44	0.1907269712
45	0.1904196643
46	0.1900893233
47	0.1898561176
48	0.188902119
49	0.188462204
50	0.1875949196
51	0.1873798462
52	0.1862522426
53	0.1860211688
54	0.1857805877
55	0.1841753804
56	0.184017285
57	0.1810731856
58	0.1808594285
59	0.1798329736
60	0.1796058057
61	0.1787681432
62	0.1765452662
63	0.1764229209
64	0.1762259565
65	0.1760705301
66	0.175930571
67	0.1752421521
68	0.1740568176
69	0.1739421437
70	0.173813023
71	0.1737104364
72	0.1736169215
73	0.17349679
74	0.1734105737
75	0.1733086655
76	0.1732269882
77	0.1730945066
78	0.1730158665
79	0.1729282877
80	0.1728374426
81	0.1720990063
82	0.1720095365
83	0.1719345031
84	0.1718583039
85	0.1701194081
86	0.1696206757
87	0.1695435974
88	0.1694600776
89	0.1693450516
90	0.1682875621
91	0.1678608403
92	0.1677814021
93	0.1676832911
94	0.1676199329
95	0.1675019788
96	0.166955848
97	0.1668351244
98	0.1667636797
99	0.1666765345
100	0.1665566585
101	0.1664780797
102	0.1664107254
103	0.1663288056
104	0.166003864
105	0.1659289699
106	0.1658655674
107	0.1657744762
108	0.1654433509
109	0.1653466501
110	0.1652856761
111	0.1644862777
112	0.1642112381
113	0.1641201962
114	0.1640278671
115	0.1639186448
116	0.1638350383
117	0.1637567618
118	0.1637042796
119	0.1636479656
120	0.1635884772
121	0.1635305311
122	0.1634809499
123	0.1634216249
124	0.1630283203
125	0.1627253251
126	0.1626735495
127	0.1625861163
128	0.1624949841
129	0.1624367119
130	0.1623723255
131	0.1623179078
132	0.1617375822
133	0.1616848054
134	0.1613945381
135	0.1613308612
136	0.1612808133
137	0.1611665299
138	0.1611131248
139	0.1610311343
140	0.1609449802
141	0.160891274
142	0.1608399731
143	0.1607657946
144	0.16072238
145	0.1606455615
146	0.1605836629
147	0.1605147251
148	0.1604484865
149	0.1602720635
150	0.1602230203
151	0.1601534625
152	0.160083283
153	0.1600157849
154	0.1599607418
155	0.1598982147
156	0.1598480263
157	0.1598017634
158	0.1597407518
159	0.1596782325
160	0.1596365084
161	0.1595886313
162	0.1595111964
163	0.1589832633
164	0.1589250416
165	0.1588844406
166	0.1588141935
167	0.1587782748
168	0.1587108438
169	0.1586760251
170	0.1586217358
